node_id,latitude,longitude
1,-7.1606147,-34.9051602
2,-7.1262317,-34.8453676
3,-7.1104818,-34.8536208
4,-7.1119155,-34.8534003
5,-7.1104912,-34.8557348
6,-7.1122163,-34.8553108
7,-7.1245374,-34.8315378
8,-7.1252493,-34.8426978
9,-7.1247836,-34.8474061
10,-7.1248301,-34.8475821
11,-7.1276959,-34.8529632
12,-7.1294466,-34.8547482
13,-7.1208984,-34.8931924
14,-7.1169705,-34.8351268
15,-7.1183659,-34.8390571
16,-7.1176934,-34.8371003
17,-7.1173422,-34.8361468
18,-7.1195065,-34.836111
19,-7.1167791,-34.83736
20,-7.1163437,-34.8364534
21,-7.1180094,-34.8380122
22,-7.1195219,-34.8380258
23,-7.1171212,-34.8382718
24,-7.1172075,-34.8382284
25,-7.1184718,-34.8370732
26,-7.1184643,-34.8356703
27,-7.1185631,-34.8409263
28,-7.1195445,-34.8409209
29,-7.1255026,-34.8410839
30,-7.1216203,-34.8430274
31,-7.1222417,-34.8410964
32,-7.1222295,-34.837416
33,-7.122232,-34.8367655
34,-7.1222272,-34.8356514
35,-7.1221526,-34.8349297
36,-7.1219757,-34.8341983
37,-7.1243064,-34.8378264
38,-7.1242601,-34.8371595
39,-7.1241979,-34.83653
40,-7.1234717,-34.8372706
41,-7.1247674,-34.8430245
42,-7.1228992,-34.8430313
43,-7.1247477,-34.8384429
44,-7.1241222,-34.8394138
45,-7.1229027,-34.844209
46,-7.121663,-34.8450265
47,-7.1228679,-34.8386681
48,-7.1234865,-34.8366143
49,-7.1227386,-34.8337202
50,-7.1184651,-34.8361384
51,-7.1210393,-34.8450405
52,-7.1222848,-34.8450284
53,-7.1229212,-34.8450165
54,-7.124161,-34.8450129
55,-7.1222799,-34.8442119
56,-7.1216236,-34.8410961
57,-7.1203628,-34.8429968
58,-7.1203596,-34.8410787
59,-7.1210134,-34.8410849
60,-7.1222365,-34.8387454
61,-7.122224,-34.8381079
62,-7.1229465,-34.8345217
63,-7.1215112,-34.8340291
64,-7.1210092,-34.834019
65,-7.1214793,-34.8334294
66,-7.1231534,-34.8309761
67,-7.1231341,-34.8312332
68,-7.123124,-34.8319471
69,-7.1195663,-34.8328574
70,-7.121242,-34.8328157
71,-7.1196177,-34.8370577
72,-7.1209939,-34.8369045
73,-7.1207125,-34.8315285
74,-7.1234728,-34.8309458
75,-7.1210182,-34.8322814
76,-7.1209935,-34.8375594
77,-7.1210231,-34.8430151
78,-7.1234599,-34.8410942
79,-7.1247554,-34.8410844
80,-7.1234863,-34.8385854
81,-7.1241399,-34.8430305
82,-7.1235119,-34.8430394
83,-7.1234831,-34.8379306
84,-7.1209816,-34.8382259
85,-7.12036,-34.8389549
86,-7.1196092,-34.8357921
87,-7.1203335,-34.8369907
88,-7.1230614,-34.8366577
89,-7.1222304,-34.836371
90,-7.1209995,-34.8359192
91,-7.1203428,-34.8358326
92,-7.1209974,-34.835326
93,-7.1279917,-34.8532539
94,-7.1186191,-34.8533283
95,-7.1186246,-34.8552484
96,-7.0971497,-34.833453
97,-7.1222032,-34.8239833
98,-7.1273472,-34.8233838
99,-7.1460232,-34.8085687
100,-7.1226512,-34.8719223
101,-7.1257164,-34.8734513
102,-7.1262365,-34.8781296
103,-7.1258608,-34.8847152
104,-7.1072353,-34.8793696
105,-7.1238359,-34.896081
106,-7.1602885,-34.8150377
107,-7.160753,-34.8051351
108,-7.1884804,-34.8017514
109,-7.1878524,-34.8017621
110,-7.1618735,-34.8005313
111,-7.1465856,-34.8080211
112,-7.1469008,-34.8095194
113,-7.144582,-34.8148061
114,-7.1283476,-34.8271562
115,-7.0869515,-34.8340154
116,-7.0846151,-34.8332208
117,-7.0794487,-34.8309705
118,-7.07443,-34.8308437
119,-7.0600611,-34.8434248
120,-7.1320833,-34.8607698
121,-7.1315582,-34.8628637
122,-7.130028,-34.8661595
123,-7.1235675,-34.8770818
124,-7.1226218,-34.8807845
125,-7.1224341,-34.8815288
126,-7.1197515,-34.8533215
127,-7.1216113,-34.8388075
128,-7.0945024,-34.8365252
129,-7.0966741,-34.8400207
130,-7.0831742,-34.8399705
131,-7.111225,-34.8291135
132,-7.1121368,-34.8309196
133,-7.11032,-34.8273025
134,-7.0972231,-34.8347546
135,-7.0973267,-34.8399441
136,-7.1196811,-34.845304
137,-7.1326334,-34.8459567
138,-7.1322862,-34.846205
139,-7.1324009,-34.8464144
140,-7.1325648,-34.8465386
141,-7.1355098,-34.8498859
142,-7.1389841,-34.852597
143,-7.1363235,-34.8561063
144,-7.1196288,-34.8494912
145,-7.1196329,-34.8533242
146,-7.1196469,-34.8571682
147,-7.1441183,-34.8141034
148,-7.1195762,-34.8433072
149,-7.1195732,-34.8431044
150,-7.12676,-34.8268387
151,-7.1257723,-34.827513
152,-7.1250402,-34.8277735
153,-7.1195145,-34.8370639
154,-7.1195902,-34.8335943
155,-7.1234558,-34.8287105
156,-7.1233969,-34.8277057
157,-7.1234095,-34.827909
158,-7.1233193,-34.8268057
159,-7.1223258,-34.8290488
160,-7.1222685,-34.8277568
161,-7.1222214,-34.8268623
162,-7.1223079,-34.8286225
163,-7.1195261,-34.8297608
164,-7.1194259,-34.829789
165,-7.1202386,-34.8295934
166,-7.1209602,-34.8294206
167,-7.1209169,-34.8285478
168,-7.1209258,-34.8276318
169,-7.1215471,-34.8277013
170,-7.1209106,-34.8267324
171,-7.1215629,-34.8268011
172,-7.1215424,-34.8286054
173,-7.1193997,-34.8274507
174,-7.11941,-34.8283506
175,-7.1194997,-34.8283563
176,-7.1194995,-34.8274579
177,-7.1202416,-34.8284532
178,-7.120308,-34.827561
179,-7.1372404,-34.8203748
180,-7.1302242,-34.824591
181,-7.1278709,-34.8256879
182,-7.1292089,-34.8252165
183,-7.1285808,-34.8230097
184,-7.1296148,-34.8226328
185,-7.1289587,-34.8243913
186,-7.1276903,-34.8248522
187,-7.1266387,-34.8258683
188,-7.1256203,-34.8260024
189,-7.1254067,-34.8237587
190,-7.1262773,-34.8236118
191,-7.1265006,-34.8250564
192,-7.1255349,-34.8251927
193,-7.124831,-34.8252608
194,-7.1232563,-34.8261005
195,-7.1232071,-34.8254071
196,-7.1230888,-34.8239652
197,-7.1231725,-34.8250207
198,-7.1221646,-34.8250709
199,-7.1221953,-34.8259752
200,-7.1193522,-34.8256473
201,-7.1194597,-34.8256598
202,-7.1209085,-34.8258313
203,-7.11946,-34.824748
204,-7.1193413,-34.8247333
205,-7.1193696,-34.8265396
206,-7.1208998,-34.8239444
207,-7.120905,-34.8249327
208,-7.1194757,-34.8265564
209,-7.1215784,-34.8259142
210,-7.1162387,-34.8364844
211,-7.1143237,-34.832603
212,-7.1178202,-34.8271826
213,-7.1176065,-34.8280801
214,-7.1172082,-34.8298413
215,-7.1174092,-34.8289444
216,-7.1138141,-34.8316012
217,-7.1139051,-34.8315591
218,-7.1156035,-34.8276634
219,-7.1158178,-34.8267504
220,-7.1152053,-34.8293972
221,-7.1154036,-34.8285264
222,-7.1138859,-34.8272844
223,-7.113773,-34.829091
224,-7.112859,-34.8329712
225,-7.1114495,-34.8322431
226,-7.1123875,-34.8323564
227,-7.1118496,-34.8327888
228,-7.1112558,-34.8355826
229,-7.1110873,-34.8344364
230,-7.1102078,-34.8352705
231,-7.1108204,-34.8360029
232,-7.10853,-34.8350275
233,-7.1089179,-34.8355773
234,-7.1083551,-34.8369857
235,-7.1093249,-34.836133
236,-7.10951,-34.8322137
237,-7.109928,-34.8327613
238,-7.110332,-34.8333082
239,-7.110725,-34.8338561
240,-7.1098106,-34.8347185
241,-7.1106349,-34.834857
242,-7.108225,-34.8325158
243,-7.1086279,-34.8330831
244,-7.1090286,-34.8336153
245,-7.1094251,-34.8341582
246,-7.1132279,-34.8304035
247,-7.1135195,-34.8310138
248,-7.1135829,-34.8309435
249,-7.112749,-34.8321475
250,-7.1124351,-34.831551
251,-7.1115545,-34.831251
252,-7.1119655,-34.831789
253,-7.1126015,-34.8291721
254,-7.1123017,-34.8285756
255,-7.1135973,-34.8281278
256,-7.1124148,-34.8285994
257,-7.1129165,-34.8283862
258,-7.1124624,-34.8274952
259,-7.1133239,-34.8272941
260,-7.1109916,-34.8292294
261,-7.1116994,-34.8273729
262,-7.1116648,-34.8271007
263,-7.1121422,-34.826867
264,-7.111365,-34.829047
265,-7.1098203,-34.8300751
266,-7.1083311,-34.8305621
267,-7.1091116,-34.8316702
268,-7.1087194,-34.8311179
269,-7.1093859,-34.8295057
270,-7.1098814,-34.829076
271,-7.1106736,-34.8286349
272,-7.1103454,-34.828034
273,-7.1106127,-34.8278975
274,-7.1107771,-34.8278338
275,-7.10829,-34.82703
276,-7.1090509,-34.8280154
277,-7.1094493,-34.8285434
278,-7.108584,-34.8284359
279,-7.1089853,-34.8289621
280,-7.1043762,-34.843543
281,-7.1054915,-34.8396158
282,-7.1069169,-34.838725
283,-7.1065984,-34.8381158
284,-7.1032032,-34.838617
285,-7.1045811,-34.8378105
286,-7.1048901,-34.8384115
287,-7.1034795,-34.8392713
288,-7.102687,-34.841368
289,-7.1040241,-34.8405038
290,-7.1037497,-34.8398809
291,-7.1051869,-34.8390193
292,-7.1029792,-34.8419878
293,-7.104307,-34.8411305
294,-7.1013922,-34.8411133
295,-7.1017135,-34.841824
296,-7.1017767,-34.8419796
297,-7.1015072,-34.841356
298,-7.102429,-34.8407392
299,-7.1020328,-34.8425746
300,-7.1012221,-34.8407219
301,-7.1006078,-34.841575
302,-7.1008604,-34.8423072
303,-7.101109,-34.8430254
304,-7.1018882,-34.8394925
305,-7.1021547,-34.8401164
306,-7.1009568,-34.840098
307,-7.099742,-34.8416859
308,-7.0998213,-34.8424662
309,-7.1056049,-34.8330926
310,-7.1065487,-34.8322454
311,-7.1059832,-34.836918
312,-7.107591,-34.8358643
313,-7.1079719,-34.8364261
314,-7.1062872,-34.8375082
315,-7.1030581,-34.8347348
316,-7.1044386,-34.8338707
317,-7.1069601,-34.8308931
318,-7.1071038,-34.8309749
319,-7.107434,-34.8314034
320,-7.1075484,-34.8294501
321,-7.107936,-34.8299872
322,-7.1078261,-34.8319842
323,-7.1062232,-34.8297923
324,-7.1065931,-34.8303701
325,-7.1066726,-34.8303022
326,-7.1063053,-34.8297112
327,-7.1071587,-34.828899
328,-7.1068004,-34.8283841
329,-7.1078258,-34.8273972
330,-7.1073318,-34.8268616
331,-7.1054244,-34.8288009
332,-7.1058589,-34.8292843
333,-7.1059469,-34.8291908
334,-7.1060072,-34.8291368
335,-7.1056294,-34.8286122
336,-7.1064225,-34.8278621
337,-7.1060842,-34.8290677
338,-7.1049863,-34.8300648
339,-7.1041304,-34.830926
340,-7.101835,-34.835545
341,-7.1005012,-34.8363732
342,-7.0986052,-34.8366702
343,-7.0986725,-34.8373329
344,-7.0992262,-34.8372224
345,-7.0995915,-34.8370005
346,-7.097374,-34.8368425
347,-7.0974193,-34.8374944
